project_code,project_name,agency,ministry,sector,state,approval_date,start_date,original_completion_date,revised_completion_date,actual_completion_date,original_cost,revised_cost,cumulative_expenditure,report_month,approval_date_raw,start_date_raw,original_completion_date_raw,revised_completion_date_raw,actual_completion_date_raw,original_cost_raw,revised_cost_raw,cumulative_expenditure_raw,source_file,source_page,source_row_number,source_serial_number,extraction_method
N16000282,SITARGANJ LPG PROJECT Central Sector Projects,INDIAN OIL CORPORATION LIMITED,,PETROLEUM,,,,2020-02,,,160.1,,125.58,2023-04,,,02/2020,,,160.10,,125.58,FR_APril_2023.pdf,24,8,1,pdfplumber-table2-v1
N16000303,REVAMPING OF EXISTING FACILITIES/ AUGMENTATION OF FACILITIES AT BAITALPUR DEPOT FOR,INDIAN OIL CORPORATION LIMITED,,PETROLEUM,,,,2021-08,,,318.8,,224.25,2023-04,,,08/2021,,,318.80,,224.25,FR_APril_2023.pdf,24,9,2,pdfplumber-table2-v1
N16000318,LPG BP PROJECT JODHPUR,INDIAN OIL CORPORATION LIMITED,,PETROLEUM,,,,,,,229.8,,165.84,2023-04,,,-,,,229.80,,165.84,FR_APril_2023.pdf,24,10,3,pdfplumber-table2-v1
N16000336,"AUGMENTATION OF LPG IMPORT TERMINAL FROM 0.6 MMTPA TO 2.5 MMTPA AT KANDLA, GUJARAT",INDIAN OIL CORPORATION LIMITED,,PETROLEUM,,,,,,,588.2,,393.17,2023-04,,,-,,,588.20,,393.17,FR_APril_2023.pdf,24,11,4,pdfplumber-table2-v1
N16000353,ETHANOL PRODUCTION FROM PSA OFF GAS BASED ON LANZATECH TECHNOLOGY AT PANIPAT REFINERY,INDIAN OIL CORPORATION LIMITED,,PETROLEUM,,,,2020-02,,,598.0,,679.2,2023-04,,,02/2020,,,598.00,,679.20,FR_APril_2023.pdf,24,12,5,pdfplumber-table2-v1
N16000355,SULTANPUR JHAJJAR HISSAR PIPELINE (SJHPL) PROJECT,GAS AUTHORITY OF INDIA LIMITED,,PETROLEUM,,,,2020-08,,,286.42,,241.8,2023-04,,,08/2020,,,286.42,,241.80,FR_APril_2023.pdf,24,13,6,pdfplumber-table2-v1
N16000476,CITY GAS DISTRIBUTION NETWORK PROJECT AT RUPNAGAR Central Sector Projects,BHARAT PETROLEUM CORPORATION LIMITED,,PETROLEUM,,,,2023-06,,,172.7,,122.76,2023-04,,,06/2023,,,172.70,,122.76,FR_APril_2023.pdf,24,14,7,pdfplumber-table2-v1
N18000164,EASTERN REGION STRENGTHENING SCHEME-XII,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2016-11,,,522.29,,481.11,2023-04,,,11/2016,,,522.29,,481.11,FR_APril_2023.pdf,24,17,8,pdfplumber-table2-v1
N18000242,ESTABLISHMENT OF 220/66KV GIS AT UT CHANDIGARH ALONG WITH 220KV D/C LINE FROM CHANDIGARH GIS TO 400/,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2019-02,,,322.3,,206.86,2023-04,,,02/2019,,,322.30,,206.86,FR_APril_2023.pdf,24,18,9,pdfplumber-table2-v1
N18000245,SYSTEM STRENGTHENING SCHEME IN NORTH REGION XXXVII,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2019-12,,,379.95,,277.82,2023-04,,,12/2019,,,379.95,,277.82,FR_APril_2023.pdf,24,19,10,pdfplumber-table2-v1
N18000258,EASTERN REGION STRENGTHENING SCHEME-XVIII Central Sector Projects,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2020-07,,,3500.0,,3183.32,2023-04,,,07/2020,,,"3,500.00",,"3,183.32",FR_APril_2023.pdf,24,20,11,pdfplumber-table2-v1
N18000301,TRANSMISSION SYSTEM FOR PROVIDING CONNECTIVITY TO RE PROJECTS AT BHUJ-II (2000 MW) IN GUJARAT,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2021-08,,,1031.0,,1024.67,2023-04,,,08/2021,,,"1,031.00",,"1,024.67",FR_APril_2023.pdf,24,21,12,pdfplumber-table2-v1
N18000308,NORTHERN REGION SYSTEM STRENGTHENING - XL,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2020-12,,,572.98,,306.67,2023-04,,,12/2020,,,572.98,,306.67,FR_APril_2023.pdf,24,22,13,pdfplumber-table2-v1
N18000315,EASTERN REGION STRENGTHENING SCHEME - XXIII,POWER GRID CORPORATION OF INDIA LIMITED,,POWER,,,,2021-06,,,239.89,,167.56,2023-04,,,06/2021,,,239.89,,167.56,FR_APril_2023.pdf,24,23,14,pdfplumber-table2-v1
N21000025,ALL INDIA INSTITUTE OF MEDICAL SCIENCE AT GORAKHPUR (U.P.),HLL Infra Tech Services Limited,,HEALTH AND FAMILY WELFARE,,,,2020-04,,,785.0,,642.64,2023-04,,,04/2020,,,785.00,,642.64,FR_APril_2023.pdf,24,26,15,pdfplumber-table2-v1
N24000616,CONSTRUCTION OF 2-LANE ROAD FROM EXISTING KM 21.500 OF HUNLI-ANINI ROAD( NEAR ITHUN BRIDGE) TO KM 37,NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION Ltd.,,ROAD TRANSPORT AND HIGHWAYS,,,,2019-12,,,245.79,,188.33,2023-04,,,12/2019,,,245.79,,188.33,FR_APril_2023.pdf,25,4,16,pdfplumber-table2-v1
N24000690,TWO LANING OF EXISTING KHUPA HAYULIANG HAWAI ROAD ON EPC BASIS FROM DESIGN KM. 0.000 (KHUPA) TO KM.,NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION Ltd.,,ROAD TRANSPORT AND HIGHWAYS,,,,2020-11,,,198.22,,164.05,2023-04,,,11/2020,,,198.22,,164.05,FR_APril_2023.pdf,25,5,17,pdfplumber-table2-v1
N24001182,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF FLEXIBLE PAVEMENT FROM KM 42.80 TO KM 60.30 ON NH NO.1,MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDs),,ROAD TRANSPORT AND HIGHWAYS,,,,2021-01,,,205.95,,164.0,2023-04,,,01/2021,,,205.95,,164.00,FR_APril_2023.pdf,25,6,18,pdfplumber-table2-v1
N24001496,SINNAR-SHIRDI (INCLUDING SINNAR BYPASS) PPP BOT (Hybrid Annuity),NATIONAL HIGHWAYS AUTHORITY OF INDIA,,ROAD TRANSPORT AND HIGHWAYS,,,,2022-08,,,1026.0,,868.51,2023-04,,,08/2022,,,"1,026.00",,868.51,FR_APril_2023.pdf,25,7,19,pdfplumber-table2-v1
N28000085,NAGPUR METRO RAIL,NAGPUR METRO RAIL CORPORATION LTD,,URBAN DEVELOPMENT,,,,2018-03,,,8680.0,,8491.14,2023-04,,,03/2018,,,"8,680.00",,"8,491.14",FR_APril_2023.pdf,25,10,20,pdfplumber-table2-v1
N24000866,UP-GRADATION TO 4-LANE WITH PAVED SHOULDER OF JAMMU- AKHNOOR SECTION OF NH-144A FROM CANAL HEAD (KM 0,NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION Ltd.,,ROAD TRANSPORT AND HIGHWAYS,,,,2021-02,,,404.17,,324.05,2023-05,,,02/2021,,,404.17,,324.05,FR_may_2023.pdf,26,15,21,pdfplumber-table2-v1
N24001152,"STRENGTHENING WITH PAVED SHOULDER FROM KM 30/0 TO KM 46/0, KM 54/0 TO KM 61/0, KM 69/0 TO KM 80/0 AN",MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDs),,ROAD TRANSPORT AND HIGHWAYS,,,,2021-09,,,160.0,,142.53,2023-05,,,09/2021,,,160.00,,142.53,FR_may_2023.pdf,26,16,22,pdfplumber-table2-v1
N24001243,"BALANCE WORK FOR ""IMPROVEMENT OF EXISTING SINGLE INTERMEDIATE LANE ROAD OF NH-44 TO BE 2-LANE ROAD W",MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDs),,ROAD TRANSPORT AND HIGHWAYS,,,,2020-12,,,166.94,,113.72,2023-05,,,12/2020,,,166.94,,113.72,FR_may_2023.pdf,26,17,23,pdfplumber-table2-v1
N24001250,WIDENING/IMPROVEMENT TO 4-LANE WITH PAVED SHOULDER FROM KM 66.00 TO KM 81.00 (DESIGN CHAINAGE 65.923 EPC,NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION Ltd.,,ROAD TRANSPORT AND HIGHWAYS,,,,2022-03,,,278.46,,246.11,2023-05,,,03/2022,,,278.46,,246.11,FR_may_2023.pdf,26,18,24,pdfplumber-table2-v1
N24001295,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN SECTION OF NH 13 FROM KM 284.92 TO KM 314.25 (PACKAGE EPC,MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDs),,ROAD TRANSPORT AND HIGHWAYS,,,,2027-03,,,347.78,,276.79,2023-05,,,03/2027,,,347.78,,276.79,FR_may_2023.pdf,26,19,25,pdfplumber-table2-v1
N24001311,KAILASHAHAR TO KHOWAI PKG-2 EPC,NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION Ltd.,,ROAD TRANSPORT AND HIGHWAYS,,,,2022-07,,,206.78,,197.72,2023-05,,,07/2022,,,206.78,,197.72,FR_may_2023.pdf,26,20,26,pdfplumber-table2-v1
N24001577,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-08) (CH. 214.260 - CH. 247.31) [START OF ROB NEAR EPC,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,ROAD TRANSPORT AND HIGHWAYS,,,,2022-11,,,1297.25,,950.33,2023-05,,,11/2022,,,"1,297.25",,950.33,FR_may_2023.pdf,26,21,27,pdfplumber-table2-v1
N24001578,SANGARIYA (NEAR CHAUTALA)-RASISAR (NEAR BIKANER) (PHASE-I) (AJ/SR-PACKAGE-8) EPC,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,ROAD TRANSPORT AND HIGHWAYS,,,,2022-10,,,580.79,,552.88,2023-05,,,10/2022,,,580.79,,552.88,FR_may_2023.pdf,26,22,28,pdfplumber-table2-v1
N24001583,RASISAR (NEAR BIKANER)-DEOGARH (NEAR DHANDHANIYA) (PHASE- I) (AJ/RD-PACKAGE-5) EPC,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,ROAD TRANSPORT AND HIGHWAYS,,,,2021-11,,,820.02,,405.35,2023-05,,,11/2021,,,820.02,,405.35,FR_may_2023.pdf,26,23,29,pdfplumber-table2-v1
N24001585,SANGARIYA (NEAR CHAUTALA)-RASISAR (NEAR BIKANER) (AJ/SR- PACKAGE-4) EPC,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,ROAD TRANSPORT AND HIGHWAYS,,,,2022-06,,,542.7,,444.17,2023-05,,,06/2022,,,542.70,,444.17,FR_may_2023.pdf,27,4,30,pdfplumber-table2-v1
N16000274,BOKARO-ANGUL PIPELINE PROJECT,GAS AUTHORITY OF INDIA LIMITED,,PETROLEUM,,,,2020-12,,,3437.0,,2463.3,2023-06,,,12/2020,,,"3,437.00",,"2,463.30",FR_june_2023.pdf,27,9,31,pdfplumber-table2-v1
N16000370,PIPELINE REPLACEMENT PROJECT (PRP-VI),OIL & NATURAL GAS CORPORATION LIMITED,,PETROLEUM,,,,2020-12,,,763.92,,830.87,2023-06,,,12/2020,,,763.92,,830.87,FR_june_2023.pdf,27,10,32,pdfplumber-table2-v1
N16000408,SULPHUR FORMING UNIT IN SRU EPC,HINDUSTAN PETROLEUM CORPORATION LIMITED,,PETROLEUM,,,,2021-08,,,210.94,,177.86,2023-06,,,08/2021,,,210.94,,177.86,FR_june_2023.pdf,27,11,33,pdfplumber-table2-v1
N18000252,AMELIA COAL MINE Central Sector Projects,THDC INDIA LIMITED,,POWER,,,,2020-09,,,2104.21,,890.47,2023-06,,,09/2020,,,"2,104.21",,890.47,FR_june_2023.pdf,27,14,34,pdfplumber-table2-v1
N18000282,NOKHRA EPC,NATIONAL THERMAL POWER CORPORATION,,POWER,,,,2021-09,,,1722.14,,1710.02,2023-06,,,09/2021,,,"1,722.14",,"1,710.02",FR_june_2023.pdf,27,15,35,pdfplumber-table2-v1
N21000003,LHMC NEW DELHI-RE-DEVELOPMENT,HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,2013-11,,,414.11,,586.5,2023-06,,,11/2013,,,414.11,,586.50,FR_june_2023.pdf,27,18,36,pdfplumber-table2-v1
N21000007,"LGBRIMH-TEZPUR, ASSAM",HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,2014-12,,,175.57,,179.15,2023-06,,,12/2014,,,175.57,,179.15,FR_june_2023.pdf,27,19,37,pdfplumber-table2-v1
N21000008,AIIMS - MOTHER AND CHILD BLOCK,HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,2017-05,,,204.44,,285.0,2023-06,,,05/2017,,,204.44,,285.00,FR_june_2023.pdf,27,20,38,pdfplumber-table2-v1
N21000009,AIIMS - OPD(NEW),HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,2017-05,,,293.65,,299.76,2023-06,,,05/2017,,,293.65,,299.76,FR_june_2023.pdf,27,21,39,pdfplumber-table2-v1
N21000010,"CONSTRUCTION OF HOSPITAL BLOCK, IIT, KHARAGPUR",HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,2017-05,,,168.9,,182.1,2023-06,,,05/2017,,,168.90,,182.10,FR_june_2023.pdf,27,22,40,pdfplumber-table2-v1
N21000011,CONSTRUCTION OF HOSPITAL AND OPD BLOCK NCI JHAJJAR,HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,2018-03,,,505.58,,586.96,2023-06,,,03/2018,,,505.58,,586.96,FR_june_2023.pdf,27,23,41,pdfplumber-table2-v1
N21000012,SATELLITE CENTRE PGI CHANDIGARH SANGRUR PUNJAB,HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,2018-02,,,152.95,,171.9,2023-06,,,02/2018,,,152.95,,171.90,FR_june_2023.pdf,27,24,42,pdfplumber-table2-v1
N21000013,NEIGRIHMS SHILLONG MEGHALYA,HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,2018-05,,,363.99,,321.0,2023-06,,,05/2018,,,363.99,,321.00,FR_june_2023.pdf,27,25,43,pdfplumber-table2-v1
N21000015,CNCI KOLKATA WEST BENGAL,HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,2018-09,,,244.0,,224.92,2023-06,,,09/2018,,,244.00,,224.92,FR_june_2023.pdf,27,26,44,pdfplumber-table2-v1
N21000016,"RESIDENTIAL COMPLEX AND OPD BLOCK, AIIMS, NAGPUR MAHARASTRA Central Sector Projects",HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,2019-03,,,274.19,,259.46,2023-06,,,03/2019,,,274.19,,259.46,FR_june_2023.pdf,27,27,45,pdfplumber-table2-v1
N21000017,"RESIDENTIAL COMPLEX AND OPD BLOCK, AIIMS-MNAGLAGIRI GUNTUR, ANDHRA PRADESH Central Sector Projects",HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,2019-03,,,272.19,,268.59,2023-06,,,03/2019,,,272.19,,268.59,FR_june_2023.pdf,28,4,46,pdfplumber-table2-v1
N21000018,"RESIDENTIALCOMPLEX AND OPD BLOCK, AIIMS, KALYANI WEST BENGAL Central Sector Projects",HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,2019-03,,,355.15,,321.31,2023-06,,,03/2019,,,355.15,,321.31,FR_june_2023.pdf,28,5,47,pdfplumber-table2-v1
N21000019,GERIATRICS BLOCK- AIIMS DLEHI,HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,,,,156.56,,145.94,2023-06,,,-,,,156.56,,145.94,FR_june_2023.pdf,28,6,48,pdfplumber-table2-v1
N21000020,HOSPITAL AND TEACHING- AIIMS GUNTUR Central Sector Projects,HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,,,,601.02,,590.2,2023-06,,,-,,,601.02,,590.20,FR_june_2023.pdf,28,7,49,pdfplumber-table2-v1
N21000021,HOSPITAL AND MEDICAL COLLEGE AIIMS RAEBARELI Central Sector Projects,HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,,,,268.84,,269.92,2023-06,,,-,,,268.84,,269.92,FR_june_2023.pdf,28,8,50,pdfplumber-table2-v1
N21000022,SUPER SPECIALITY BLOCK PMSSY GOA Central Sector Projects,HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,,,,249.01,,244.64,2023-06,,,-,,,249.01,,244.64,FR_june_2023.pdf,28,9,51,pdfplumber-table2-v1
N21000023,HOSPITAL AND TEACHING- AIIMS NAGPUR Central Sector Projects,HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,,,,582.99,,562.03,2023-06,,,-,,,582.99,,562.03,FR_june_2023.pdf,28,10,52,pdfplumber-table2-v1
N21000024,HOSPITAL AND TEACHING- AIIMS KALYANI,HOSPITAL SERVICES CONSULTANCY CORPORATION LTD,,HEALTH AND FAMILY WELFARE,,,,,,,651.99,,622.18,2023-06,,,-,,,651.99,,622.18,FR_june_2023.pdf,28,11,53,pdfplumber-table2-v1
N21000028,AIIMS BILASPUR,NBCC FOR HEALTH,,HEALTH AND FAMILY WELFARE,,,,2021-09,,,1351.0,,1185.1,2023-06,,,09/2021,,,"1,351.00",,"1,185.10",FR_june_2023.pdf,28,12,54,pdfplumber-table2-v1
220100164,BELAPUR-SEAWOOD-URAN ELECTRIFIED DOUBLE LINE(MTP),METROPOLITAN RAPID TRANSPORT PROJECTS,,RAILWAYS,,,,2004-03,,,495.44,,1920.57,2023-06,,,03/2004,,,495.44,,"1,920.57",FR_june_2023.pdf,28,15,55,pdfplumber-table2-v1
220100222,"KODERMA-RANCHI VIA BARKAKANA (NL),ECR",EAST CENTRAL RAILWAYS,,RAILWAYS,,,,,,,1033.07,,3881.88,2023-06,,,-,,,"1,033.07",,"3,881.88",FR_june_2023.pdf,28,16,56,pdfplumber-table2-v1
220100325,SUKINDA ROAD - ANGUL (NL)(ECOR),RAIL VIKAS NIGAM LTD.,,RAILWAYS,,,,2015-02,,,1202.7,,2488.95,2023-06,,,02/2015,,,"1,202.70",,"2,488.95",FR_june_2023.pdf,28,17,57,pdfplumber-table2-v1
N22000121,AHMEDABAD-HIMMATNAGAR-UDAIPUR (WR),WESTERN RAILWAY,,RAILWAYS,,,,2020-03,,,829.74,,2248.41,2023-06,,,03/2020,,,829.74,,"2,248.41",FR_june_2023.pdf,28,18,58,pdfplumber-table2-v1
N22000144,PALANPUR-SAMAKHAYALI (DL),RAIL VIKAS NIGAM LTD.,,RAILWAYS,,,,2021-12,,,1548.66,,2814.97,2023-06,,,12/2021,,,"1,548.66",,"2,814.97",FR_june_2023.pdf,28,19,59,pdfplumber-table2-v1
N22000145,VIRAMGAM-SAMAKHIALI (DL),WESTERN RAILWAY,,RAILWAYS,,,,2021-03,,,1037.15,,1539.79,2023-06,,,03/2021,,,"1,037.15",,"1,539.79",FR_june_2023.pdf,28,20,60,pdfplumber-table2-v1
N22000201,MADURAI-BODINAYAKKANUR,SOUTHERN RAILWAY,,RAILWAYS,,,,,,,164.41,,513.97,2023-06,,,-,,,164.41,,513.97,FR_june_2023.pdf,28,21,61,pdfplumber-table2-v1
N22000221,BANDEL-BOINCHI 3RD LINE,EASTERN RAILWAYS,,RAILWAYS,,,,,,,288.35,,603.92,2023-06,,,-,,,288.35,,603.92,FR_june_2023.pdf,28,22,62,pdfplumber-table2-v1
N22000238,BOINCHI-SHAKTIGARH 3RD LINE,EASTERN RAILWAYS,,RAILWAYS,,,,,,,175.8,,454.29,2023-06,,,-,,,175.80,,454.29,FR_june_2023.pdf,28,23,63,pdfplumber-table2-v1
N22000302,BAZAR SAU -AZIMGANJ JN. DOUBLING,EASTERN RAILWAYS,,RAILWAYS,,,,,,,255.64,,415.43,2023-06,,,-,,,255.64,,415.43,FR_june_2023.pdf,28,24,64,pdfplumber-table2-v1
N22000313,VIJAYWADA-GUDUGOLANU-BHIMAVARAM-NARSAPUR DL (221 KM),RAIL VIKAS NIGAM LTD.,,RAILWAYS,,,,2020-03,,,1503.71,,4483.77,2023-06,,,03/2020,,,"1,503.71",,"4,483.77",FR_june_2023.pdf,28,25,65,pdfplumber-table2-v1
N22000325,HUBLI- CHIKJAJUR,SOUTH WESTERN RAILWAY,,RAILWAYS,,,,2020-03,,,1156.94,,1590.73,2023-06,,,03/2020,,,"1,156.94",,"1,590.73",FR_june_2023.pdf,28,26,66,pdfplumber-table2-v1
N22000334,HAJIPUR - BACHAWARA,EAST CENTRAL RAILWAYS,,RAILWAYS,,,,2019-03,,,678.54,,1089.3,2023-06,,,03/2019,,,678.54,,"1,089.30",FR_june_2023.pdf,29,4,67,pdfplumber-table2-v1
N22000392,SURENDRA NAGAR RAJKOT,WESTERN RAILWAY,,RAILWAYS,,,,2021-03,,,1002.39,,867.09,2023-06,,,03/2021,,,"1,002.39",,867.09,FR_june_2023.pdf,29,5,68,pdfplumber-table2-v1
N22000394,DOUBLING OF TRACK BETWEEN GOOTY AND DHARMAVARAM OF SOUTH CENTRAL RAILWAY,RAIL INDIA TECHNICAL AND ECONOMIC SERVICE,,RAILWAYS,,,,2021-03,,,636.38,,1081.75,2023-06,,,03/2021,,,636.38,,"1,081.75",FR_june_2023.pdf,29,6,69,pdfplumber-table2-v1
N22000395,ROURKELA JHARSUGUDA THIRD LINE 101 KM,SOUTH EASTERN RAILWAY,,RAILWAYS,,,,2020-03,,,969.83,,1396.8,2023-06,,,03/2020,,,969.83,,"1,396.80",FR_june_2023.pdf,29,7,70,pdfplumber-table2-v1
N22000407,DAUND-GULBARGA - DOUBLING (224.9 KM) AND PUNE-GUNTAKAL - ELECTRIFICATION (641.37 KM),RAIL VIKAS NIGAM LTD.,,RAILWAYS,,,,2020-03,,,713.48,,3240.14,2023-06,,,03/2020,,,713.48,,"3,240.14",FR_june_2023.pdf,29,8,71,pdfplumber-table2-v1
N22000410,SAMBALPUR - TITLAGARH - DOUBLING,RAIL VIKAS NIGAM LTD.,,RAILWAYS,,,,2020-03,,,948.04,,2517.11,2023-06,,,03/2020,,,948.04,,"2,517.11",FR_june_2023.pdf,29,9,72,pdfplumber-table2-v1
N22000411,RAIPUR - TITLAGARH - DOUBLING,RAIL VIKAS NIGAM LTD.,,RAILWAYS,,,,2020-03,,,1402.02,,1479.06,2023-06,,,03/2020,,,"1,402.02",,"1,479.06",FR_june_2023.pdf,29,10,73,pdfplumber-table2-v1
N22000413,BHIMSEN - JHANSI DOUBLING WITH ELECTRIFICATION,RAIL VIKAS NIGAM LTD.,,RAILWAYS,,,,2020-12,,,1183.25,,2256.64,2023-06,,,12/2020,,,"1,183.25",,"2,256.64",FR_june_2023.pdf,29,11,74,pdfplumber-table2-v1
N22000414,BINA - KOTA DOUBLING WITH RE,RAIL VIKAS NIGAM LTD.,,RAILWAYS,,,,2020-12,,,1485.85,,2606.08,2023-06,,,12/2020,,,"1,485.85",,"2,606.08",FR_june_2023.pdf,29,12,75,pdfplumber-table2-v1
N22000456,INDARA - DOHRIGHAT GAUGE CONVERSION.,NORTH EASTERN RAILWAY,,RAILWAYS,,,,2016-04,,,213.0,,277.23,2023-06,,,04/2016,,,213.00,,277.23,FR_june_2023.pdf,29,13,76,pdfplumber-table2-v1
N22000466,JODHPUR (RAI KA BAGH) - DEGANA DOUBLING (145 KM),NORTH WESTERN RAILWAY,,RAILWAYS,,,,2022-08,,,808.85,,806.65,2023-06,,,08/2022,,,808.85,,806.65,FR_june_2023.pdf,29,14,77,pdfplumber-table2-v1
N22000469,AUNRIHAR - JAUNPUR PATCH DOUBLING .,NORTH EASTERN RAILWAY,,RAILWAYS,,,,2022-01,,,600.0,,406.77,2023-06,,,01/2022,,,600.00,,406.77,FR_june_2023.pdf,29,15,78,pdfplumber-table2-v1
N22000488,GEVRA ROAD PENDRA ROAD,Indian Railway Construction Company Limited,,RAILWAYS,,,,2022-03,,,2288.0,,2139.95,2023-06,,,03/2022,,,"2,288.00",,"2,139.95",FR_june_2023.pdf,29,16,79,pdfplumber-table2-v1
N24000482,FOUR LANING OF KOILWAR TO BHOJPUR,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,ROAD TRANSPORT AND HIGHWAYS,,,,2020-01,,,814.04,,1089.89,2023-06,,,01/2020,,,814.04,,"1,089.89",FR_june_2023.pdf,29,19,80,pdfplumber-table2-v1
N24000506,FOUR LANING OF BHOJPUR TO BUXAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,ROAD TRANSPORT AND HIGHWAYS,,,,2020-10,,,642.41,,786.78,2023-06,,,10/2020,,,642.41,,786.78,FR_june_2023.pdf,29,20,81,pdfplumber-table2-v1
N24000722,CONSTRUCTION OF NH-24 4-LANE BYPASS STARTING FROM KM 479.500 OF NH-24 AND TERMINATING AT KM 17.600 O,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,ROAD TRANSPORT AND HIGHWAYS,,,,2019-07,,,305.0,,236.44,2023-06,,,07/2019,,,305.00,,236.44,FR_june_2023.pdf,29,21,82,pdfplumber-table2-v1
N24000792,FOUR LANING OF ALIGARH - KANPUR SECTION PKG-I FROM ALIGARH - BHADWAS,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,ROAD TRANSPORT AND HIGHWAYS,,,,2022-06,,,809.07,,1202.13,2023-06,,,06/2022,,,809.07,,"1,202.13",FR_june_2023.pdf,29,22,83,pdfplumber-table2-v1
N24001279,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDER OF SELLING-DULTE SECTION OF NH-06 (PKG-II) EPC,NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION Ltd.,,ROAD TRANSPORT AND HIGHWAYS,,,,2022-07,,,216.49,,370.83,2023-06,,,07/2022,,,216.49,,370.83,FR_june_2023.pdf,29,23,84,pdfplumber-table2-v1
N16000272,DHAMRA-ANGUL PIPELINE PROJECT,GAS AUTHORITY OF INDIA LIMITED,,PETROLEUM,,,,2020-12,,,1933.0,,2103.9,2023-07,,,12/2020,,,"1,933.00",,"2,103.90",FR_july1_2023.pdf,29,28,85,pdfplumber-table2-v1
N16000390,HARIDWAR RISHIKESH DEHRADUN PIPELINE PROJECT,GAS AUTHORITY OF INDIA LIMITED,,PETROLEUM,,,,2021-04,,,217.92,,148.4,2023-07,,,04/2021,,,217.92,,148.40,FR_july1_2023.pdf,29,29,86,pdfplumber-table2-v1
N16000475,CITY GAS DISTRIBUTION NETWORK PROJECT AT SAHARANPUR Central Sector Projects,BHARAT PETROLEUM CORPORATION LIMITED,,PETROLEUM,,,,2023-06,,,186.7,,184.32,2023-07,,,06/2023,,,186.70,,184.32,FR_july1_2023.pdf,30,4,87,pdfplumber-table2-v1
