regime,candidate_model,metric,point_estimate,bootstrap_method,iterations,ci_lower_95,ci_upper_95
MODERN,prevalence,brier_score,,MONTH_BLOCK_BOOTSTRAP,1000,0.00806558650965895,0.0348177756948588
MODERN,lagged_cost_rule,average_precision,0.0173102529960053,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0139693941101911,0.0210293580496913
MODERN,lagged_cost_rule,average_precision,,MONTH_BLOCK_BOOTSTRAP,1000,0.00759624050469937,0.0357695897717468
MODERN,lagged_cost_rule,roc_auc,0.477888642522789,PROJECT_CLUSTER_BOOTSTRAP,1000,0.475854758098481,0.479883585645686
MODERN,lagged_cost_rule,roc_auc,,MONTH_BLOCK_BOOTSTRAP,1000,0.460626009191405,0.492594551705898
MODERN,lagged_cost_rule,brier_score,0.0607674615663963,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0557380741351663,0.0659740559776445
MODERN,lagged_cost_rule,brier_score,,MONTH_BLOCK_BOOTSTRAP,1000,0.0375759928331183,0.0889646256904454
MODERN,logistic_unweighted,average_precision,0.01785646888864,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0104309653952788,0.0344412620073182
MODERN,logistic_unweighted,average_precision,,MONTH_BLOCK_BOOTSTRAP,1000,0.00639947904954168,0.0401936216170979
MODERN,logistic_unweighted,roc_auc,0.302602177325015,PROJECT_CLUSTER_BOOTSTRAP,1000,0.25932708548873,0.347805279101199
MODERN,logistic_unweighted,roc_auc,,MONTH_BLOCK_BOOTSTRAP,1000,0.270108009523065,0.504432081479921
MODERN,logistic_unweighted,brier_score,0.0203551473923059,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0170183382346998,0.0238631402302985
MODERN,logistic_unweighted,brier_score,,MONTH_BLOCK_BOOTSTRAP,1000,0.00919013817125321,0.0379228095136733
MODERN,logistic_balanced,average_precision,0.021012752281326,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0120568833419281,0.0367078598863599
MODERN,logistic_balanced,average_precision,,MONTH_BLOCK_BOOTSTRAP,1000,0.00600214063139828,0.0522933759092257
MODERN,logistic_balanced,roc_auc,0.389548305845423,PROJECT_CLUSTER_BOOTSTRAP,1000,0.344645380296622,0.438343530465346
MODERN,logistic_balanced,roc_auc,,MONTH_BLOCK_BOOTSTRAP,1000,0.296005167369581,0.535076870222451
MODERN,logistic_balanced,brier_score,0.171466661552267,PROJECT_CLUSTER_BOOTSTRAP,1000,0.166318742939785,0.177071324957615
MODERN,logistic_balanced,brier_score,,MONTH_BLOCK_BOOTSTRAP,1000,0.119379769292251,0.256066411520635
MODERN,catboost_unweighted,average_precision,0.0180763588686887,PROJECT_CLUSTER_BOOTSTRAP,1000,0.014529733726571,0.02326121184921
MODERN,catboost_unweighted,average_precision,,MONTH_BLOCK_BOOTSTRAP,1000,0.00631622303702525,0.0633142942471801
MODERN,catboost_unweighted,roc_auc,0.528689590773848,PROJECT_CLUSTER_BOOTSTRAP,1000,0.479721274792145,0.580336130348404
MODERN,catboost_unweighted,roc_auc,,MONTH_BLOCK_BOOTSTRAP,1000,0.387313982907345,0.64429672358387
MODERN,catboost_unweighted,brier_score,0.0190644193510627,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0154130232195454,0.0225972221869068
MODERN,catboost_unweighted,brier_score,,MONTH_BLOCK_BOOTSTRAP,1000,0.00995695149967644,0.0360300236517044
MODERN,catboost_balanced,average_precision,0.0206965253957426,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0165146208750729,0.0262721968970387
MODERN,catboost_balanced,average_precision,,MONTH_BLOCK_BOOTSTRAP,1000,0.00750445199488725,0.0650213119952756
MODERN,catboost_balanced,roc_auc,0.585123794658163,PROJECT_CLUSTER_BOOTSTRAP,1000,0.534578206721296,0.635870695369403
MODERN,catboost_balanced,roc_auc,,MONTH_BLOCK_BOOTSTRAP,1000,0.474204257649394,0.673629907264095
MODERN,catboost_balanced,brier_score,0.0279012298939283,PROJECT_CLUSTER_BOOTSTRAP,1000,0.0241431197702166,0.0320062908651558
MODERN,catboost_balanced,brier_score,,MONTH_BLOCK_BOOTSTRAP,1000,0.0174954457053799,0.0399585272586304
