regime,candidate_model,threshold,precision,recall,f1,specificity,predicted_positives,predicted_positive_rate,total_rows
LEGACY,prevalence,0.93,,0,0,1,0,0,19005
LEGACY,prevalence,0.94,,0,0,1,0,0,19005
LEGACY,prevalence,0.95,,0,0,1,0,0,19005
LEGACY,prevalence,0.96,,0,0,1,0,0,19005
LEGACY,prevalence,0.97,,0,0,1,0,0,19005
LEGACY,prevalence,0.98,,0,0,1,0,0,19005
LEGACY,prevalence,0.99,,0,0,1,0,0,19005
LEGACY,prevalence,1,,0,0,1,0,0,19005
LEGACY,lagged_cost_rule,0.01,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.02,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.03,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.04,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.05,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.06,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.07,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.08,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.09,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.1,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.11,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.12,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.13,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.14,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.15,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.16,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.17,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.18,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.19,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.2,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.21,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.22,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.23,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.24,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.25,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.26,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.27,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.28,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.29,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.3,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.31,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.32,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.33,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.34,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.35,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.36,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.37,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.38,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.39,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.4,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.41,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.42,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.43,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.44,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.45,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.46,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.47,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.48,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.49,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.5,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.51,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.52,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.53,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.54,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.55,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.56,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.57,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.58,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.59,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.6,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.61,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.62,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.63,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.64,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.65,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.66,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.67,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.68,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.69,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.7,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.71,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.72,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.73,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.74,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.75,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.76,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.77,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.78,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.79,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.8,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.81,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.82,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.83,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.84,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.85,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.86,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.87,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.88,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.89,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.9,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.91,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.92,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.93,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.94,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.95,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.96,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.97,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.98,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,0.99,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,lagged_cost_rule,1,0.0529411764705882,0.0267857142857143,0.0355731225296443,0.991376077990251,170,0.00894501446987635,19005
LEGACY,logistic_unweighted,0.01,0.0184529081783289,0.744047619047619,0.0360126764621147,0.287696180834539,13548,0.712865035516969,19005
