regime,candidate_model,feature_name,importance_type,importance_value,rank
LEGACY,logistic_balanced,cost_has_been_revised,MEAN_STANDARDIZED_COEFFICIENT,0.785452,16
LEGACY,logistic_balanced,exp_delta_1m,MEAN_STANDARDIZED_COEFFICIENT,0.192444,17
LEGACY,logistic_balanced,exp_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,-0.582537,18
LEGACY,logistic_balanced,past_exp_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,-0.171356,19
LEGACY,logistic_balanced,past_progress_delta_3m,MEAN_STANDARDIZED_COEFFICIENT,-0.096438,20
LEGACY,logistic_balanced,past_progress_stagnant_3m,MEAN_STANDARDIZED_COEFFICIENT,0,21
LEGACY,logistic_balanced,n_prior_schedule_extensions,MEAN_STANDARDIZED_COEFFICIENT,0,22
LEGACY,logistic_balanced,n_prior_cost_revisions,MEAN_STANDARDIZED_COEFFICIENT,-0.003982,23
LEGACY,logistic_balanced,observed_tenure_months,MEAN_STANDARDIZED_COEFFICIENT,0.371009,24
LEGACY,logistic_balanced,state_is_missing,MEAN_STANDARDIZED_COEFFICIENT,0,25
LEGACY,logistic_balanced,approval_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,-1.954427,26
LEGACY,logistic_balanced,original_completion_date_is_missing,MEAN_STANDARDIZED_COEFFICIENT,0.038807,27
LEGACY,logistic_balanced,revised_cost_is_present,MEAN_STANDARDIZED_COEFFICIENT,-0.101851,28
LEGACY,logistic_balanced,revised_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,0,29
LEGACY,logistic_balanced,physical_progress_is_present,MEAN_STANDARDIZED_COEFFICIENT,0.074647,30
LEGACY,logistic_balanced,physical_progress_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.009368,31
LEGACY,logistic_balanced,start_date_is_present,MEAN_STANDARDIZED_COEFFICIENT,0.348467,32
LEGACY,logistic_balanced,start_date_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.01802,33
LEGACY,logistic_balanced,exp_delta_1m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.102517,34
LEGACY,logistic_balanced,exp_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,-0.01802,35
LEGACY,logistic_balanced,progress_delta_3m_is_supported,MEAN_STANDARDIZED_COEFFICIENT,0.011361,36
LEGACY,catboost_unweighted,project_age_months,PREDICTION_VALUES_CHANGE,11.492542,1
LEGACY,catboost_unweighted,state,PREDICTION_VALUES_CHANGE,10.362876,2
LEGACY,catboost_unweighted,expenditure_to_original_cost_ratio,PREDICTION_VALUES_CHANGE,10.127515,3
LEGACY,catboost_unweighted,agency,PREDICTION_VALUES_CHANGE,8.99855,4
LEGACY,catboost_unweighted,months_to_original_schedule,PREDICTION_VALUES_CHANGE,8.636451,5
LEGACY,catboost_unweighted,months_to_effective_schedule,PREDICTION_VALUES_CHANGE,6.648055,6
LEGACY,catboost_unweighted,observed_tenure_months,PREDICTION_VALUES_CHANGE,6.567042,7
LEGACY,catboost_unweighted,original_cost,PREDICTION_VALUES_CHANGE,6.566505,8
LEGACY,catboost_unweighted,cumulative_expenditure_t,PREDICTION_VALUES_CHANGE,5.679387,9
LEGACY,catboost_unweighted,revised_to_original_cost_ratio,PREDICTION_VALUES_CHANGE,4.354395,10
LEGACY,catboost_unweighted,revised_cost_t,PREDICTION_VALUES_CHANGE,3.317388,11
LEGACY,catboost_unweighted,exp_delta_3m,PREDICTION_VALUES_CHANGE,2.907464,12
LEGACY,catboost_unweighted,schedule_revision_lag_months,PREDICTION_VALUES_CHANGE,2.658858,13
LEGACY,catboost_unweighted,exp_delta_1m,PREDICTION_VALUES_CHANGE,2.13459,14
LEGACY,catboost_unweighted,sector,PREDICTION_VALUES_CHANGE,2.069977,15
LEGACY,catboost_unweighted,n_prior_schedule_extensions,PREDICTION_VALUES_CHANGE,1.30759,16
LEGACY,catboost_unweighted,physical_progress_t,PREDICTION_VALUES_CHANGE,0.949925,17
LEGACY,catboost_unweighted,n_prior_cost_revisions,PREDICTION_VALUES_CHANGE,0.917199,18
LEGACY,catboost_unweighted,cost_has_been_revised,PREDICTION_VALUES_CHANGE,0.730123,19
LEGACY,catboost_unweighted,revised_cost_is_present,PREDICTION_VALUES_CHANGE,0.651176,20
LEGACY,catboost_unweighted,past_exp_stagnant_3m,PREDICTION_VALUES_CHANGE,0.592496,21
LEGACY,catboost_unweighted,schedule_has_been_revised,PREDICTION_VALUES_CHANGE,0.485489,22
LEGACY,catboost_unweighted,physical_progress_supported,PREDICTION_VALUES_CHANGE,0.310678,23
LEGACY,catboost_unweighted,exp_delta_3m_is_supported,PREDICTION_VALUES_CHANGE,0.306271,24
LEGACY,catboost_unweighted,revised_date_is_present,PREDICTION_VALUES_CHANGE,0.300624,25
LEGACY,catboost_unweighted,past_progress_stagnant_3m,PREDICTION_VALUES_CHANGE,0.24808,26
LEGACY,catboost_unweighted,physical_progress_is_present,PREDICTION_VALUES_CHANGE,0.194241,27
LEGACY,catboost_unweighted,past_progress_delta_3m,PREDICTION_VALUES_CHANGE,0.186645,28
LEGACY,catboost_unweighted,exp_delta_1m_is_supported,PREDICTION_VALUES_CHANGE,0.159851,29
LEGACY,catboost_unweighted,progress_delta_3m_is_supported,PREDICTION_VALUES_CHANGE,0.127492,30
LEGACY,catboost_unweighted,original_completion_date_is_missing,PREDICTION_VALUES_CHANGE,0.010293,31
LEGACY,catboost_unweighted,state_is_missing,PREDICTION_VALUES_CHANGE,0.00023,32
LEGACY,catboost_unweighted,start_date_supported,PREDICTION_VALUES_CHANGE,0,33
LEGACY,catboost_unweighted,approval_date_is_missing,PREDICTION_VALUES_CHANGE,0,34
LEGACY,catboost_unweighted,start_date_is_present,PREDICTION_VALUES_CHANGE,0,35
LEGACY,catboost_unweighted,months_since_start,PREDICTION_VALUES_CHANGE,0,36
LEGACY,catboost_balanced,state,PREDICTION_VALUES_CHANGE,10.57582,1
LEGACY,catboost_balanced,project_age_months,PREDICTION_VALUES_CHANGE,9.951585,2
