regime,candidate_model,bin_index,lower_bound,upper_bound,rows,mean_predicted_probability,observed_positive_rate,calibration_gap
MODERN,lagged_cost_rule,9,0.8,0.9,0,,,
MODERN,lagged_cost_rule,10,0.9,1,359,1,0,1
MODERN,logistic_unweighted,1,0,0.1,7927,0.016175,0.017409,0.001234
MODERN,logistic_unweighted,2,0.1,0.2,200,0.139008,0.01,0.129008
MODERN,logistic_unweighted,3,0.2,0.3,59,0.248822,0.016949,0.231873
MODERN,logistic_unweighted,4,0.3,0.4,31,0.341294,0,0.341294
MODERN,logistic_unweighted,5,0.4,0.5,14,0.435503,0,0.435503
MODERN,logistic_unweighted,6,0.5,0.6,15,0.551521,0,0.551521
MODERN,logistic_unweighted,7,0.6,0.7,5,0.634931,0,0.634931
MODERN,logistic_unweighted,8,0.7,0.8,4,0.765118,0,0.765118
MODERN,logistic_unweighted,9,0.8,0.9,2,0.853348,0,0.853348
MODERN,logistic_unweighted,10,0.9,1,4,1,0.5,0.5
MODERN,logistic_balanced,1,0,0.1,1852,0.049641,0.025918,0.023723
MODERN,logistic_balanced,2,0.1,0.2,1461,0.14982,0.023272,0.126548
MODERN,logistic_balanced,3,0.2,0.3,1243,0.249227,0.023331,0.225897
MODERN,logistic_balanced,4,0.3,0.4,834,0.347205,0.009592,0.337612
MODERN,logistic_balanced,5,0.4,0.5,840,0.449248,0.005952,0.443296
MODERN,logistic_balanced,6,0.5,0.6,964,0.546406,0.005187,0.541219
MODERN,logistic_balanced,7,0.6,0.7,422,0.642465,0.007109,0.635356
MODERN,logistic_balanced,8,0.7,0.8,176,0.745968,0.011364,0.734605
MODERN,logistic_balanced,9,0.8,0.9,185,0.850188,0.021622,0.828567
MODERN,logistic_balanced,10,0.9,1,284,0.95125,0.017606,0.933645
MODERN,catboost_unweighted,1,0,0.1,8059,0.011081,0.017372,0.006291
MODERN,catboost_unweighted,2,0.1,0.2,139,0.132355,0.021583,0.110772
MODERN,catboost_unweighted,3,0.2,0.3,25,0.237295,0,0.237295
MODERN,catboost_unweighted,4,0.3,0.4,13,0.337943,0,0.337943
MODERN,catboost_unweighted,5,0.4,0.5,5,0.431475,0,0.431475
MODERN,catboost_unweighted,6,0.5,0.6,7,0.570578,0,0.570578
MODERN,catboost_unweighted,7,0.6,0.7,5,0.675631,0,0.675631
MODERN,catboost_unweighted,8,0.7,0.8,6,0.730328,0,0.730328
MODERN,catboost_unweighted,9,0.8,0.9,2,0.876486,0,0.876486
MODERN,catboost_unweighted,10,0.9,1,0,,,
MODERN,catboost_balanced,1,0,0.1,7315,0.01571,0.017362,0.001651
MODERN,catboost_balanced,2,0.1,0.2,482,0.142756,0.022822,0.119934
MODERN,catboost_balanced,3,0.2,0.3,194,0.242405,0.015464,0.226941
MODERN,catboost_balanced,4,0.3,0.4,103,0.342626,0.009709,0.332918
MODERN,catboost_balanced,5,0.4,0.5,65,0.447904,0,0.447904
MODERN,catboost_balanced,6,0.5,0.6,46,0.542497,0,0.542497
MODERN,catboost_balanced,7,0.6,0.7,20,0.646366,0,0.646366
MODERN,catboost_balanced,8,0.7,0.8,12,0.747368,0.083333,0.664035
MODERN,catboost_balanced,9,0.8,0.9,14,0.853788,0,0.853788
MODERN,catboost_balanced,10,0.9,1,10,0.946259,0,0.946259
