regime,config_id,display_name,feature_subset_type,feature_count,model_family,evaluation_folds,total_evaluation_rows,total_positives,prevalence,pooled_average_precision,pooled_roc_auc,pooled_brier_score,pooled_ece_10bin,pooled_mce_10bin,pooled_precision,pooled_recall,pooled_f1,pooled_specificity,pooled_alert_rate,macro_fold_ap_mean,macro_fold_roc_mean,macro_fold_brier_mean,macro_fold_ece_mean,row_weighted_fold_ap_mean,row_weighted_fold_roc_mean,row_weighted_fold_brier_mean,row_weighted_fold_ece_mean
LEGACY,catboost_static_only,MODEL A (Static / CUF-Only),STATIC_ONLY,25,CatBoostClassifier,12,16999,1606,0.0944761456556268,0.413104103156893,0.810695154328936,0.0702988885739255,0.0215909304300247,0.139517095078484,0.589018302828619,0.220423412204234,0.32079746261894,0.983953745208861,0.0353550208835814,0.436799597121805,0.804001493314994,0.0688865414405212,0.0342339449132504,0.425799003404944,0.802990699216575,0.0702988885739255,0.0337216235529255
LEGACY,catboost_static_plus_longitudinal,MODEL B (Static + Longitudinal),STATIC_PLUS_LONGITUDINAL,36,CatBoostClassifier,12,16999,1606,0.0944761456556268,0.407094238003995,0.806439366634848,0.0719881716264486,0.0287395898474958,0.190582115217803,0.542553191489362,0.254047322540473,0.346055979643766,0.977652179562139,0.0442378963468439,0.418370025666501,0.799836828249158,0.0706639055736783,0.035210035410302,0.411247708587678,0.799573942533314,0.0719881716264486,0.0353916445380593
LEGACY,catboost_longitudinal_only,MODEL C (Longitudinal-Only),LONGITUDINAL_ONLY,11,CatBoostClassifier,12,16999,1606,0.0944761456556268,0.287286592777754,0.74167607763358,0.0829517589173168,0.0334507343920386,0.464408751295111,0.382275132275132,0.179950186799502,0.244707874682472,0.969661534463717,0.0444732043061357,0.369788035370976,0.734599649700821,0.0816521127799528,0.0498045406283434,0.353589626194931,0.735021487580447,0.0829517589173168,0.0501189164190344
MODERN,logistic_static_only,MODEL A (Static / CUF-Only),STATIC_ONLY,25,LogisticRegression,5,8190,3680,0.449328449328449,0.758716582126302,0.841929829846717,0.191616613720421,0.140519246997574,0.315710572989643,0.808252427184466,0.36195652173913,0.5,0.929933481152993,0.201221001221001,0.751646297816324,0.84726751641089,0.190330703276782,0.151064135181813,0.751629294553936,0.846562199203943,0.191616613720421,0.152833313355686
MODERN,logistic_static_plus_longitudinal,MODEL B (Static + Longitudinal),STATIC_PLUS_LONGITUDINAL,36,LogisticRegression,5,8190,3680,0.449328449328449,0.709136398942985,0.807183734213824,0.211067499108021,0.166373351236311,0.310566563889116,0.744394618834081,0.360869565217391,0.486090775988287,0.898891352549889,0.217826617826618,0.722062538827258,0.804107417468644,0.212212347396876,0.175945041823695,0.730736887746579,0.811312527682922,0.211067499108021,0.177803581962783
MODERN,logistic_longitudinal_only,MODEL C (Longitudinal-Only),LONGITUDINAL_ONLY,11,LogisticRegression,5,8190,3680,0.449328449328449,0.61739580782604,0.71371857828015,0.300338758774689,0.274056244620004,0.838939340103164,0.633587786259542,0.0451086956521739,0.0842212075088788,0.978713968957871,0.031990231990232,0.651257062215115,0.73431061679093,0.299214473956739,0.273801162556567,0.653355883649414,0.735256503597262,0.300338758774689,0.276366085207613
