regime,metric_name,model_a_ci_low,model_a_ci_high,model_b_ci_low,model_b_ci_high,delta_ci_low,delta_ci_high,bootstrap_draws,bootstrap_type,macro_fold_std,fold_min,fold_max,longitudinal_win_rate_folds
LEGACY,average_precision,0.35342122243112,0.468128501254546,0.34948143345968,0.462788993674749,-0.0188789528395594,0.00732029491532877,1000,PROJECT_CLUSTER_BOOTSTRAP,0.162753714136783,0.0710615394336613,0.632825841950835,0.416666666666667
LEGACY,roc_auc,0.788760958094889,0.8303978832232,0.785366553854672,0.826533891609849,-0.00860089756304173,0.000184983029534346,1000,PROJECT_CLUSTER_BOOTSTRAP,0.0648817226461848,0.638718456209797,0.895716965846587,0.5
MODERN,average_precision,0.73031623323336,0.785980587025316,0.683414537024189,0.734668418858338,-0.0622498372541534,-0.0376804229567951,1000,PROJECT_CLUSTER_BOOTSTRAP,0.0867216573264126,0.567849513721486,0.815060010033558,0.4
MODERN,roc_auc,0.82812132898897,0.854705456345742,0.79323036777417,0.819990893514373,-0.0412055977317416,-0.0282034214676216,1000,PROJECT_CLUSTER_BOOTSTRAP,0.074785142006388,0.658505317231435,0.856094761489371,0.4
