regime,model_config,feature_name,feature_group,feature_rank,mean_importance,importance_share_pct,group_total_importance,group_share_pct
LEGACY,catboost_static_plus_longitudinal,months_to_effective_schedule,static_current,1,22.2080660142732,22.2080660142732,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,state,static_current,2,16.87025965902,16.87025965902,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,agency,static_current,3,14.3368293478696,14.3368293478696,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,schedule_revision_lag_months,static_current,4,5.12164116911171,5.1216411691117,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,months_to_original_schedule,static_current,5,5.05622051331675,5.05622051331675,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,sector,static_current,6,4.54244881039439,4.54244881039439,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,project_age_months,static_current,7,4.52701603426025,4.52701603426025,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,original_cost,static_current,8,4.20941811153243,4.20941811153243,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,n_prior_schedule_extensions,longitudinal,9,3.4807827865814,3.4807827865814,10.4536479373834,10.4536479373834
LEGACY,catboost_static_plus_longitudinal,observed_tenure_months,longitudinal,10,3.15654054684595,3.15654054684595,10.4536479373834,10.4536479373834
LEGACY,catboost_static_plus_longitudinal,expenditure_to_original_cost_ratio,static_current,11,2.71454468435367,2.71454468435367,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,cumulative_expenditure_t,static_current,12,2.59931626689822,2.59931626689822,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,physical_progress_t,static_current,13,1.77590445378959,1.77590445378959,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,revised_to_original_cost_ratio,static_current,14,1.5608219435714,1.5608219435714,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,schedule_has_been_revised,static_current,15,1.42048490090384,1.42048490090384,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,exp_delta_3m,longitudinal,16,1.37430329588077,1.37430329588077,10.4536479373834,10.4536479373834
LEGACY,catboost_static_plus_longitudinal,exp_delta_1m,longitudinal,17,1.28790078057846,1.28790078057846,10.4536479373834,10.4536479373834
LEGACY,catboost_static_plus_longitudinal,revised_date_is_present,static_current,18,1.1560685660727,1.1560685660727,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,revised_cost_t,static_current,19,0.814485053746279,0.814485053746279,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,n_prior_cost_revisions,longitudinal,20,0.375245584885085,0.375245584885085,10.4536479373834,10.4536479373834
LEGACY,catboost_static_plus_longitudinal,past_exp_stagnant_3m,longitudinal,21,0.358862160789104,0.358862160789104,10.4536479373834,10.4536479373834
LEGACY,catboost_static_plus_longitudinal,physical_progress_is_present,static_current,22,0.263586956774646,0.263586956774646,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,exp_delta_3m_is_supported,longitudinal,23,0.13706286385029,0.13706286385029,10.4536479373834,10.4536479373834
LEGACY,catboost_static_plus_longitudinal,physical_progress_supported,static_current,24,0.133918594459061,0.133918594459061,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,exp_delta_1m_is_supported,longitudinal,25,0.129434563235493,0.129434563235493,10.4536479373834,10.4536479373834
LEGACY,catboost_static_plus_longitudinal,cost_has_been_revised,static_current,26,0.118197159588307,0.118197159588307,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,revised_cost_is_present,static_current,27,0.112018101331901,0.112018101331901,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,past_progress_stagnant_3m,longitudinal,28,0.0944242490275689,0.0944242490275689,10.4536479373834,10.4536479373834
LEGACY,catboost_static_plus_longitudinal,past_progress_delta_3m,longitudinal,29,0.038060135759531,0.038060135759531,10.4536479373834,10.4536479373834
LEGACY,catboost_static_plus_longitudinal,progress_delta_3m_is_supported,longitudinal,30,0.02103096994975,0.02103096994975,10.4536479373834,10.4536479373834
LEGACY,catboost_static_plus_longitudinal,original_completion_date_is_missing,static_current,31,0.0049266819108569,0.00492668191085689,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,state_is_missing,static_current,32,0.000179039437817922,0.000179039437817922,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,months_since_start,static_current,33,0,0,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,approval_date_is_missing,static_current,34,0,0,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,start_date_is_present,static_current,35,0,0,89.5463520626166,89.5463520626166
LEGACY,catboost_static_plus_longitudinal,start_date_supported,static_current,36,0,0,89.5463520626166,89.5463520626166
MODERN,logistic_static_plus_longitudinal,agency,static_current,1,3.48693008078014,24.9467341837055,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,sector,static_current,2,2.30333919412036,16.4789053062329,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,state,static_current,3,1.41092919993947,10.0942877796515,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,months_to_effective_schedule,static_current,4,1.06687017248962,7.63276750179858,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,revised_cost_t,static_current,5,0.557139941778671,3.98597669258916,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,schedule_revision_lag_months,static_current,6,0.406866064833134,2.91086409323459,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,n_prior_schedule_extensions,longitudinal,7,0.352228005586307,2.51996404397429,2.22833352186501,15.9422881316191
MODERN,logistic_static_plus_longitudinal,months_since_start,static_current,8,0.334377803521941,2.39225736913166,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,exp_delta_1m_is_supported,longitudinal,9,0.303748438506854,2.17312403134013,2.22833352186501,15.9422881316191
MODERN,logistic_static_plus_longitudinal,physical_progress_t,static_current,10,0.246193372280917,1.76135467984721,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,past_progress_delta_3m,longitudinal,11,0.245405048917705,1.75571473498531,2.22833352186501,15.9422881316191
MODERN,logistic_static_plus_longitudinal,exp_delta_1m,longitudinal,12,0.243316659734685,1.74077365827486,2.22833352186501,15.9422881316191
MODERN,logistic_static_plus_longitudinal,months_to_original_schedule,static_current,13,0.233280719523934,1.66897298349186,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,original_cost,static_current,14,0.229244543883599,1.64009675182516,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,exp_delta_3m,longitudinal,15,0.216395388751039,1.54816933998975,2.22833352186501,15.9422881316191
MODERN,logistic_static_plus_longitudinal,cumulative_expenditure_t,static_current,16,0.216051858715215,1.54571160430556,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,observed_tenure_months,longitudinal,17,0.214929561253751,1.53768229032518,2.22833352186501,15.9422881316191
MODERN,logistic_static_plus_longitudinal,past_progress_stagnant_3m,longitudinal,18,0.207459832103163,1.48424119938645,2.22833352186501,15.9422881316191
MODERN,logistic_static_plus_longitudinal,expenditure_to_original_cost_ratio,static_current,19,0.192551795800967,1.37758382163119,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,state_is_missing,static_current,20,0.192416888376397,1.37661864608072,11.7491677217956,84.0577118683809
MODERN,logistic_static_plus_longitudinal,past_exp_stagnant_3m,longitudinal,21,0.192231038056912,1.37528900699685,2.22833352186501,15.9422881316191
MODERN,logistic_static_plus_longitudinal,start_date_supported,static_current,22,0.189352098401993,1.35469205189928,11.7491677217956,84.0577118683809
