regime,candidate_model,metric,point_estimate,bootstrap_method,iterations,ci_lower_95,ci_upper_95
MODERN,logistic_balanced,average_precision,0.231756013069532,PROJECT_CLUSTER_BOOTSTRAP,1000,0.210649272881618,0.257377139126777
MODERN,logistic_balanced,average_precision,,MONTH_BLOCK_BOOTSTRAP,1000,0.160943673460904,0.375654763567385
MODERN,logistic_balanced,roc_auc,0.535213097405238,PROJECT_CLUSTER_BOOTSTRAP,1000,0.516787122265524,0.55610929015872
MODERN,logistic_balanced,roc_auc,,MONTH_BLOCK_BOOTSTRAP,1000,0.476354883614033,0.63121079986736
MODERN,logistic_balanced,brier_score,0.212478601835874,PROJECT_CLUSTER_BOOTSTRAP,1000,0.205865540853913,0.218730950905387
MODERN,logistic_balanced,brier_score,,MONTH_BLOCK_BOOTSTRAP,1000,0.191006662039293,0.235016118509149
MODERN,catboost_unweighted,average_precision,0.30070949103272,PROJECT_CLUSTER_BOOTSTRAP,1000,0.270947350069124,0.335543087162471
MODERN,catboost_unweighted,average_precision,,MONTH_BLOCK_BOOTSTRAP,1000,0.244477722967947,0.440528214466495
MODERN,catboost_unweighted,roc_auc,0.645405562290466,PROJECT_CLUSTER_BOOTSTRAP,1000,0.624418349773925,0.665597914131996
MODERN,catboost_unweighted,roc_auc,,MONTH_BLOCK_BOOTSTRAP,1000,0.595307643529513,0.733912287354858
MODERN,catboost_unweighted,brier_score,0.211446328575138,PROJECT_CLUSTER_BOOTSTRAP,1000,0.201998042030761,0.220898138420173
MODERN,catboost_unweighted,brier_score,,MONTH_BLOCK_BOOTSTRAP,1000,0.18338947708036,0.243042087894452
MODERN,catboost_balanced,average_precision,0.309864368918402,PROJECT_CLUSTER_BOOTSTRAP,1000,0.276923013407003,0.345634534015521
MODERN,catboost_balanced,average_precision,,MONTH_BLOCK_BOOTSTRAP,1000,0.248953497532539,0.446634991529878
MODERN,catboost_balanced,roc_auc,0.652565342894713,PROJECT_CLUSTER_BOOTSTRAP,1000,0.631012881439495,0.673306492038734
MODERN,catboost_balanced,roc_auc,,MONTH_BLOCK_BOOTSTRAP,1000,0.603740043835785,0.731311750857345
MODERN,catboost_balanced,brier_score,0.225818904756365,PROJECT_CLUSTER_BOOTSTRAP,1000,0.217134949701424,0.235707692921182
MODERN,catboost_balanced,brier_score,,MONTH_BLOCK_BOOTSTRAP,1000,0.198077880038195,0.261233523005498
