regime,candidate_model,bin_index,lower_bound,upper_bound,rows,mean_predicted_probability,observed_positive_rate,calibration_gap
MODERN,logistic_balanced,4,0.3,0.4,989,0.353516,0.200202,0.153313
MODERN,logistic_balanced,5,0.4,0.5,959,0.436591,0.200209,0.236382
MODERN,logistic_balanced,6,0.5,0.6,799,0.557249,0.195244,0.362005
MODERN,logistic_balanced,7,0.6,0.7,481,0.640479,0.237006,0.403473
MODERN,logistic_balanced,8,0.7,0.8,462,0.738509,0.203463,0.535046
MODERN,logistic_balanced,9,0.8,0.9,112,0.846566,0.473214,0.373352
MODERN,logistic_balanced,10,0.9,1,37,0.936942,0.351351,0.585591
MODERN,catboost_unweighted,1,0,0.1,2211,0.042645,0.098146,0.0555
MODERN,catboost_unweighted,2,0.1,0.2,1255,0.14761,0.184064,0.036454
MODERN,catboost_unweighted,3,0.2,0.3,979,0.248005,0.202247,0.045758
MODERN,catboost_unweighted,4,0.3,0.4,834,0.347447,0.18705,0.160396
MODERN,catboost_unweighted,5,0.4,0.5,520,0.446306,0.205769,0.240537
MODERN,catboost_unweighted,6,0.5,0.6,518,0.550391,0.208494,0.341897
MODERN,catboost_unweighted,7,0.6,0.7,450,0.649769,0.251111,0.398658
MODERN,catboost_unweighted,8,0.7,0.8,506,0.751356,0.326087,0.425269
MODERN,catboost_unweighted,9,0.8,0.9,427,0.849964,0.327869,0.522096
MODERN,catboost_unweighted,10,0.9,1,322,0.939471,0.419255,0.520216
MODERN,catboost_balanced,1,0,0.1,1691,0.04567,0.080426,0.034756
MODERN,catboost_balanced,2,0.1,0.2,1096,0.14865,0.168796,0.020145
MODERN,catboost_balanced,3,0.2,0.3,969,0.248433,0.172343,0.07609
MODERN,catboost_balanced,4,0.3,0.4,897,0.348809,0.204013,0.144795
MODERN,catboost_balanced,5,0.4,0.5,733,0.447175,0.20191,0.245265
MODERN,catboost_balanced,6,0.5,0.6,596,0.548849,0.209732,0.339118
MODERN,catboost_balanced,7,0.6,0.7,516,0.648764,0.224806,0.423958
MODERN,catboost_balanced,8,0.7,0.8,574,0.750429,0.285714,0.464715
MODERN,catboost_balanced,9,0.8,0.9,571,0.85214,0.308231,0.543909
MODERN,catboost_balanced,10,0.9,1,379,0.9401,0.448549,0.491551
