regime,candidate_model,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,specificity,predicted_positives,predicted_positive_rate,false_discovery_rate,total_rows
LEGACY,prevalence,0.5,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.51,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.52,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.53,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.54,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.55,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.56,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.57,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.58,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.59,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.6,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.61,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.62,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.63,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.64,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.65,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.66,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.67,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.68,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.69,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.7,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.71,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.72,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.73,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.74,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.75,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.76,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.77,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.78,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.79,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.8,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.81,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.82,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.83,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.84,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.85,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.86,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.87,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.88,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.89,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.9,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.91,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.92,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.93,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.94,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.95,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.96,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.97,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.98,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,0.99,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,prevalence,1,0,0,5977,2252,,0,0,1,0,0,,8229
LEGACY,logistic_unweighted,0.01,2251,5962,15,1,0.274077681724096,0.99955595026643,0.430195891065456,0.0025096202108081,8213,0.998055656823429,0.725922318275904,8229
LEGACY,logistic_unweighted,0.02,2251,5952,25,1,0.27441180056077,0.99955595026643,0.430607364897178,0.00418270035134683,8203,0.996840442338073,0.72558819943923,8229
