regime,locked_model,score_type,calibration_status,sample_size,positives,prevalence,brier_score,ece_10bin,max_calibration_error,calibration_slope,calibration_intercept,mean_predicted_probability,prob_min,prob_p25,prob_median,prob_p75,prob_max,prob_std,notes
LEGACY,catboost_full_v1__unweighted,RAW,UNTOUCHED_NATIVE_PROBABILITIES,16999,1606,0.0944761456556268,0.0719881716264486,0.0287395898474958,0.190582115217803,0.68780341682892,-0.602857116722618,0.101984664241495,0.000235317335637429,0.00900828914902094,0.0295453604351208,0.119318923617565,0.995523711082216,0.164845421152904,Native unweighted CatBoost is well-calibrated; active calibration omitted.
LEGACY,catboost_full_v1__unweighted,OPERATIONAL,UNTOUCHED_NATIVE_PROBABILITIES,16999,1606,0.0944761456556268,0.0719881716264486,0.0287395898474958,0.190582115217803,0.68780341682892,-0.602857116722618,0.101984664241495,0.000235317335637429,0.00900828914902094,0.0295453604351208,0.119318923617565,0.995523711082216,0.164845421152904,Native unweighted CatBoost is well-calibrated; active calibration omitted.
MODERN,logistic_static_only__unweighted,RAW,RAW_UNWEIGHTED_LOGISTIC,8190,3680,0.449328449328449,0.191616613720421,0.140519246997574,0.315710572989643,1.16547046061532,0.879357154083209,0.317448645092262,2.86972503297532e-05,0.126517415718411,0.297057775868752,0.462063831384738,0.999999999719985,0.223623823156019,Raw logistic exhibits systematic underprediction (mean prob 0.317 vs prevalence 0.449).
MODERN,logistic_static_only__unweighted,OPERATIONAL,APPROVED_PLATT_ON_M5_ONLY,8190,3680,0.449328449328449,0.189008834015725,0.129650829916407,0.290949052707529,1.07324251012098,0.738121958330876,0.330041464520223,5.22777549652326e-06,0.127864528571768,0.30904327972896,0.484616687203888,0.999999999719985,0.233978640093989,M5 (2026-04) Platt calibrated via nested OOF pool; M1-M4 lack mature history under strict sub-embargo.
