regime,locked_model,score_type,evaluation_folds,evaluation_rows,positives,prevalence,average_precision,roc_auc,brier_score,ece_10bin,precision_at_0_5,recall_at_0_5,f1_at_0_5,macro_fold_ap_mean,macro_fold_ap_std,macro_fold_ap_min,macro_fold_ap_max,macro_fold_roc_mean,macro_fold_brier_mean,row_weighted_fold_ap_mean,row_weighted_fold_roc_mean,row_weighted_fold_brier_mean
LEGACY,catboost_full_v1__unweighted,RAW,12,16999,1606,0.0944761456556268,0.407094238003995,0.806439366634848,0.0719881716264486,0.0287395898474958,0.542553191489362,0.254047322540473,0.346055979643766,0.418370025666501,0.162753714136783,0.0710615394336613,0.632825841950835,0.799836828249158,0.0706639055736783,0.411247708587678,0.799573942533314,0.0719881716264486
LEGACY,catboost_full_v1__unweighted,OPERATIONAL,12,16999,1606,0.0944761456556268,0.407094238003995,0.806439366634848,0.0719881716264486,0.0287395898474958,0.542553191489362,0.254047322540473,0.346055979643766,0.418370025666501,0.162753714136783,0.0710615394336613,0.632825841950835,0.799836828249158,0.0706639055736783,0.411247708587678,0.799573942533314,0.0719881716264486
MODERN,logistic_static_only__unweighted,RAW,5,8190,3680,0.449328449328449,0.758716582126302,0.841929829846717,0.191616613720421,0.140519246997574,0.808252427184466,0.36195652173913,0.5,0.751646297816324,0.0466504599131107,0.691588555412104,0.801013974115293,0.84726751641089,0.190330703276782,0.751629294553936,0.846562199203943,0.191616613720421
MODERN,logistic_static_only__unweighted,OPERATIONAL,5,8190,3680,0.449328449328449,0.748744691177597,0.834505085317652,0.189008834015725,0.129650829916407,0.784469096671949,0.403532608695652,0.532926610443208,0.751646297816324,0.0466504599131107,0.691588555412104,0.801013974115293,0.84726751641089,0.187702061334448,0.751629294553936,0.846562199203943,0.189008834015725
