regime,analysis_category,grouping_key,sample_size,metric_or_feature,value_tp,value_fp,value_fn,value_tn,notes
LEGACY,TEMPORAL_DISTRIBUTION,2024-11,1092,quadrant_counts,27,4,67,994,Confusion quadrant counts for evaluation origin 2024-11.
LEGACY,TEMPORAL_DISTRIBUTION,2024-12,1113,quadrant_counts,42,2,91,978,Confusion quadrant counts for evaluation origin 2024-12.
LEGACY,TEMPORAL_DISTRIBUTION,2025-01,1109,quadrant_counts,36,3,99,971,Confusion quadrant counts for evaluation origin 2025-01.
LEGACY,TEMPORAL_DISTRIBUTION,2025-02,983,quadrant_counts,0,5,43,935,Confusion quadrant counts for evaluation origin 2025-02.
LEGACY,TEMPORAL_DISTRIBUTION,2025-03,1446,quadrant_counts,73,43,83,1247,Confusion quadrant counts for evaluation origin 2025-03.
LEGACY,PROJECT_REPEAT_CLUSTERING,FALSE_POSITIVES,344,unique_projects_with_error,,201,,,Number of distinct projects generating false alarms.
LEGACY,PROJECT_REPEAT_CLUSTERING,FALSE_POSITIVES,344,repeat_error_projects_count_2plus,,94,,,Projects generating multiple false alarms (>=2 months).
LEGACY,PROJECT_REPEAT_CLUSTERING,FALSE_POSITIVES,344,repeat_error_share_pct,,68.8953488372093,,,Percentage of false alarms originating from chronic repeat-alert projects.
LEGACY,PROJECT_REPEAT_CLUSTERING,FALSE_NEGATIVES,1198,unique_projects_with_error,,,448,,Number of distinct projects with missed schedule extensions.
LEGACY,PROJECT_REPEAT_CLUSTERING,FALSE_NEGATIVES,1198,repeat_error_projects_count_2plus,,,337,,Projects with multiple missed extensions (>=2 months).
LEGACY,PROJECT_REPEAT_CLUSTERING,FALSE_NEGATIVES,1198,repeat_error_share_pct,,,90.7345575959933,,Percentage of missed extensions originating from chronic repeat-miss projects.
MODERN,QUADRANT_SUMMARY,OVERALL,8190,count,1485,408,2195,4102,Observation counts by confusion quadrant at operational threshold 0.5.
MODERN,QUADRANT_SUMMARY,OVERALL,8190,percentage_of_population,18.1318681318681,4.98168498168498,26.8009768009768,50.0854700854701,Percentage of total regime population in each confusion quadrant.
MODERN,PROBABILITY_DISTRIBUTION,OVERALL,8190,mean_probability,0.66539823023589,0.660725799025708,0.340835951010263,0.169968840577842,Predicted probability mean_probability across confusion quadrants.
MODERN,PROBABILITY_DISTRIBUTION,OVERALL,8190,median_probability,0.635487616104545,0.619389693239021,0.366037273166938,0.140428847599219,Predicted probability median_probability across confusion quadrants.
MODERN,PROBABILITY_DISTRIBUTION,OVERALL,8190,std_probability,0.127834489320806,0.133855947752257,0.114016011706967,0.131812749363163,Predicted probability std_probability across confusion quadrants.
MODERN,PROBABILITY_DISTRIBUTION,OVERALL,8190,min_probability,0.500244213623914,0.500126835634393,0.0035264896913564,5.22777549652326e-06,Predicted probability min_probability across confusion quadrants.
MODERN,PROBABILITY_DISTRIBUTION,OVERALL,8190,max_probability,0.999971854348122,0.999999999719985,0.499667554112282,0.499902776204577,Predicted probability max_probability across confusion quadrants.
MODERN,FEATURE_PROFILE_MEAN,OVERALL,8190,project_age_months,67.7299371946964,73.788029925187,58.9963218390805,67.6652678351024,Mean value of project_age_months across confusion quadrants.
MODERN,FEATURE_PROFILE_MEDIAN,OVERALL,8190,project_age_months,61,65,48,45,Median value of project_age_months across confusion quadrants.
MODERN,FEATURE_PROFILE_MEAN,OVERALL,8190,original_cost,982.512821548822,1229.84889705882,1634.94766742597,2526.97907362262,Mean value of original_cost across confusion quadrants.
MODERN,FEATURE_PROFILE_MEDIAN,OVERALL,8190,original_cost,697.66,474.23,879.26,819,Median value of original_cost across confusion quadrants.
MODERN,FEATURE_PROFILE_MEAN,OVERALL,8190,cumulative_expenditure_t,464.916323232323,804.487426470588,893.875480637813,1420.05383471477,Mean value of cumulative_expenditure_t across confusion quadrants.
